[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:00:34,803 WARN [Apollo-RemoteConfigRepository-1][RemoteConfigRepository.java:194] - Load config failed, will retry in 1 SECONDS. appId: depository-agent-service, cluster: DEFAULT, namespaces: micro_service.spring-cloud-feign
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:00:35,807 WARN [Apollo-RemoteConfigRepository-1][AbstractConfigRepository.java:26] - Sync config failed, will retry. Repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository, reason: Load Apollo Config failed - appId: depository-agent-service, cluster: DEFAULT, namespace: micro_service.spring-cloud-feign, url: http://192.168.85.131:8080/configs/depository-agent-service/DEFAULT/micro_service.spring-cloud-feign?ip=192.168.0.103&messages=%7B%22details%22%3A%7B%22common-template%2Bdefault%2Bmicro_service.spring-cloud-feign%22%3A403%2C%22depository-agent-service%2Bdefault%2Bmicro_service.spring-cloud-feign%22%3A349%7D%7D [Cause: [status code: 404] Could not find config for namespace - appId: depository-agent-service, cluster: DEFAULT, namespace: micro_service.spring-cloud-feign, please check whether the configs are released in Apollo!]
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:01:47,098 INFO [AsyncResolver-bootstrap-executor-0][ConfigClusterResolver.java:43] - Resolving eureka endpoints via configuration
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:04:59,919 INFO [Thread-184][EurekaServiceRegistry.java:65] - Unregistering application DEPOSITORY-AGENT-SERVICE with eureka with status DOWN
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:04:59,974 WARN [Thread-184][DiscoveryClient.java:1303] - Saw local status change event StatusChangeEvent [timestamp=1629277499967, current=DOWN, previous=UP]
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:00,100 INFO [DiscoveryClient-InstanceInfoReplicator-0][DiscoveryClient.java:826] - DiscoveryClient_DEPOSITORY-AGENT-SERVICE/depository-agent-service:172.19.130.1:53070: registering service...
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:00,384 INFO [DiscoveryClient-InstanceInfoReplicator-0][DiscoveryClient.java:835] - DiscoveryClient_DEPOSITORY-AGENT-SERVICE/depository-agent-service:172.19.130.1:53070 - registration status: 204
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:01,161 INFO [Thread-184][ExecutorConfigurationSupport.java:208] - Shutting down ExecutorService 'applicationTaskExecutor'
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:03,882 INFO [Thread-184][DruidDataSource.java:1885] - {dataSource-1} closing ...
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:03,937 INFO [Thread-184][DruidDataSource.java:1955] - {dataSource-1} closed
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:04,202 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[192.168.85.131:9876] result: true
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:04,209 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[192.168.85.131:9876] result: true
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:04,209 INFO [Thread-184][DisposableBeanAdapter.java:265] - Invocation of destroy method failed on bean with name 'rocketMQTemplate': java.lang.IllegalStateException: Shutdown in progress
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:04,210 INFO [Thread-184][DisposableBeanAdapter.java:347] - Destroy method 'shutdown' on bean with name 'defaultMQProducer' threw an exception: java.lang.IllegalStateException: Shutdown in progress
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:04,211 INFO [Thread-184][DiscoveryClient.java:888] - Shutting down DiscoveryClient ...
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:07,212 INFO [Thread-184][DiscoveryClient.java:922] - Unregistering ...
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:07,228 INFO [Thread-184][DiscoveryClient.java:924] - DiscoveryClient_DEPOSITORY-AGENT-SERVICE/depository-agent-service:172.19.130.1:53070 - deregister  status: 200
[wanxinp2p-depository-agent-service][${env:SERVER_PORT}] 2021-08-18 17:05:07,338 INFO [Thread-184][DiscoveryClient.java:911] - Completed shut down of DiscoveryClient
